Fra,Til,KWH 60 Forbruk
01.03.2019 00:00,01.03.2019 01:00,"0,485"
01.03.2019 01:00,01.03.2019 02:00,"0,651"
01.03.2019 02:00,01.03.2019 03:00,"0,597"
01.03.2019 03:00,01.03.2019 04:00,"0,171"
01.03.2019 04:00,01.03.2019 05:00,"0,156"
01.03.2019 05:00,01.03.2019 06:00,"0,153"
01.03.2019 06:00,01.03.2019 07:00,"0,152"
01.03.2019 07:00,01.03.2019 08:00,"0,59"
01.03.2019 08:00,01.03.2019 09:00,"0,561"
01.03.2019 09:00,01.03.2019 10:00,"2,668"
01.03.2019 10:00,01.03.2019 11:00,"3,535"
01.03.2019 11:00,01.03.2019 12:00,"3,438"
01.03.2019 12:00,01.03.2019 13:00,"4,98"
01.03.2019 13:00,01.03.2019 14:00,"3,357"
01.03.2019 14:00,01.03.2019 15:00,"0,994"
01.03.2019 15:00,01.03.2019 16:00,"2,025"
01.03.2019 16:00,01.03.2019 17:00,"1,765"
01.03.2019 17:00,01.03.2019 18:00,"2,185"
01.03.2019 18:00,01.03.2019 19:00,"1,614"
01.03.2019 19:00,01.03.2019 20:00,"1,617"
01.03.2019 20:00,01.03.2019 21:00,"1,593"
01.03.2019 21:00,01.03.2019 22:00,"3,881"
01.03.2019 22:00,01.03.2019 23:00,"1,909"
01.03.2019 23:00,02.03.2019 00:00,"1,662"
02.03.2019 00:00,02.03.2019 01:00,"0,797"
02.03.2019 01:00,02.03.2019 02:00,"0,38"
02.03.2019 02:00,02.03.2019 03:00,"0,213"
02.03.2019 03:00,02.03.2019 04:00,"0,856"
02.03.2019 04:00,02.03.2019 05:00,"0,192"
02.03.2019 05:00,02.03.2019 06:00,"0,187"
02.03.2019 06:00,02.03.2019 07:00,"0,186"
02.03.2019 07:00,02.03.2019 08:00,"0,194"
02.03.2019 08:00,02.03.2019 09:00,"0,201"
02.03.2019 09:00,02.03.2019 10:00,"0,787"
02.03.2019 10:00,02.03.2019 11:00,"0,186"
02.03.2019 11:00,02.03.2019 12:00,"1,521"
02.03.2019 12:00,02.03.2019 13:00,"2,621"
02.03.2019 13:00,02.03.2019 14:00,"2,897"
02.03.2019 14:00,02.03.2019 15:00,"1,293"
02.03.2019 15:00,02.03.2019 16:00,"0,429"
02.03.2019 16:00,02.03.2019 17:00,"1,441"
02.03.2019 17:00,02.03.2019 18:00,"2,685"
02.03.2019 18:00,02.03.2019 19:00,"4,79"
02.03.2019 19:00,02.03.2019 20:00,"3,159"
02.03.2019 20:00,02.03.2019 21:00,"1,612"
02.03.2019 21:00,02.03.2019 22:00,"1,666"
02.03.2019 22:00,02.03.2019 23:00,"2,076"
02.03.2019 23:00,03.03.2019 00:00,"2,327"
03.03.2019 00:00,03.03.2019 01:00,"1,662"
03.03.2019 01:00,03.03.2019 02:00,"1,633"
03.03.2019 02:00,03.03.2019 03:00,"2,278"
03.03.2019 03:00,03.03.2019 04:00,"1,758"
03.03.2019 04:00,03.03.2019 05:00,"1,607"
03.03.2019 05:00,03.03.2019 06:00,"1,549"
03.03.2019 06:00,03.03.2019 07:00,"0,166"
03.03.2019 07:00,03.03.2019 08:00,"0,164"
03.03.2019 08:00,03.03.2019 09:00,"0,877"
03.03.2019 09:00,03.03.2019 10:00,"0,157"
03.03.2019 10:00,03.03.2019 11:00,"0,206"
03.03.2019 11:00,03.03.2019 12:00,"0,174"
03.03.2019 12:00,03.03.2019 13:00,"1,079"
03.03.2019 13:00,03.03.2019 14:00,"1,002"
03.03.2019 14:00,03.03.2019 15:00,"0,765"
03.03.2019 15:00,03.03.2019 16:00,"0,68"
03.03.2019 16:00,03.03.2019 17:00,"2,182"
03.03.2019 17:00,03.03.2019 18:00,"1,429"
03.03.2019 18:00,03.03.2019 19:00,"1,584"
03.03.2019 19:00,03.03.2019 20:00,"1,564"
03.03.2019 20:00,03.03.2019 21:00,"1,602"
03.03.2019 21:00,03.03.2019 22:00,"2,293"
03.03.2019 22:00,03.03.2019 23:00,"2,646"
03.03.2019 23:00,04.03.2019 00:00,"2,439"
04.03.2019 00:00,04.03.2019 01:00,"4,863"
04.03.2019 01:00,04.03.2019 02:00,"5,16"
04.03.2019 02:00,04.03.2019 03:00,"3,76"
04.03.2019 03:00,04.03.2019 04:00,"1,968"
04.03.2019 04:00,04.03.2019 05:00,"1,566"
04.03.2019 05:00,04.03.2019 06:00,"0,478"
04.03.2019 06:00,04.03.2019 07:00,"0,153"
04.03.2019 07:00,04.03.2019 08:00,"0,159"
04.03.2019 08:00,04.03.2019 09:00,"0,893"
04.03.2019 09:00,04.03.2019 10:00,"0,217"
04.03.2019 10:00,04.03.2019 11:00,"0,185"
04.03.2019 11:00,04.03.2019 12:00,"0,191"
04.03.2019 12:00,04.03.2019 13:00,"0,186"
04.03.2019 13:00,04.03.2019 14:00,"1,499"
04.03.2019 14:00,04.03.2019 15:00,"1,837"
04.03.2019 15:00,04.03.2019 16:00,"3,059"
04.03.2019 16:00,04.03.2019 17:00,"2,144"
04.03.2019 17:00,04.03.2019 18:00,"2,106"
04.03.2019 18:00,04.03.2019 19:00,"1,161"
04.03.2019 19:00,04.03.2019 20:00,"1,143"
04.03.2019 20:00,04.03.2019 21:00,"1,654"
04.03.2019 21:00,04.03.2019 22:00,"1,641"
04.03.2019 22:00,04.03.2019 23:00,"2,214"
04.03.2019 23:00,05.03.2019 00:00,"3,61"
05.03.2019 00:00,05.03.2019 01:00,"3,603"
05.03.2019 01:00,05.03.2019 02:00,"2,055"
05.03.2019 02:00,05.03.2019 03:00,"1,626"
05.03.2019 03:00,05.03.2019 04:00,"0,768"
05.03.2019 04:00,05.03.2019 05:00,"0,176"
05.03.2019 05:00,05.03.2019 06:00,"0,912"
05.03.2019 06:00,05.03.2019 07:00,"0,181"
05.03.2019 07:00,05.03.2019 08:00,"0,256"
05.03.2019 08:00,05.03.2019 09:00,"0,202"
05.03.2019 09:00,05.03.2019 10:00,"0,174"
05.03.2019 10:00,05.03.2019 11:00,"0,44"
05.03.2019 11:00,05.03.2019 12:00,"0,613"
05.03.2019 12:00,05.03.2019 13:00,"0,167"
05.03.2019 13:00,05.03.2019 14:00,"0,169"
05.03.2019 14:00,05.03.2019 15:00,"1,193"
05.03.2019 15:00,05.03.2019 16:00,"2,742"
05.03.2019 16:00,05.03.2019 17:00,"1,559"
05.03.2019 17:00,05.03.2019 18:00,"1,555"
05.03.2019 18:00,05.03.2019 19:00,"2,284"
05.03.2019 19:00,05.03.2019 20:00,"1,638"
05.03.2019 20:00,05.03.2019 21:00,"2,756"
05.03.2019 21:00,05.03.2019 22:00,"3,906"
05.03.2019 22:00,05.03.2019 23:00,"4,106"
05.03.2019 23:00,06.03.2019 00:00,"2,243"
06.03.2019 00:00,06.03.2019 01:00,"2,492"
06.03.2019 01:00,06.03.2019 02:00,"3,533"
06.03.2019 02:00,06.03.2019 03:00,"1,633"
06.03.2019 03:00,06.03.2019 04:00,"0,691"
06.03.2019 04:00,06.03.2019 05:00,"0,347"
06.03.2019 05:00,06.03.2019 06:00,"0,673"
06.03.2019 06:00,06.03.2019 07:00,"0,488"
06.03.2019 07:00,06.03.2019 08:00,"0,62"
06.03.2019 08:00,06.03.2019 09:00,"2,117"
06.03.2019 09:00,06.03.2019 10:00,"1,325"
06.03.2019 10:00,06.03.2019 11:00,"0,18"
06.03.2019 11:00,06.03.2019 12:00,"0,186"
06.03.2019 12:00,06.03.2019 13:00,"0,188"
06.03.2019 13:00,06.03.2019 14:00,"0,18"
06.03.2019 14:00,06.03.2019 15:00,"1,195"
06.03.2019 15:00,06.03.2019 16:00,"2,025"
06.03.2019 16:00,06.03.2019 17:00,"2,051"
06.03.2019 17:00,06.03.2019 18:00,"2,056"
06.03.2019 18:00,06.03.2019 19:00,"2,022"
06.03.2019 19:00,06.03.2019 20:00,"1,524"
06.03.2019 20:00,06.03.2019 21:00,"4,159"
06.03.2019 21:00,06.03.2019 22:00,"2,067"
06.03.2019 22:00,06.03.2019 23:00,"1,648"
06.03.2019 23:00,07.03.2019 00:00,"1,943"
07.03.2019 00:00,07.03.2019 01:00,"2,483"
07.03.2019 01:00,07.03.2019 02:00,"1,643"
07.03.2019 02:00,07.03.2019 03:00,"1,625"
07.03.2019 03:00,07.03.2019 04:00,"1,628"
07.03.2019 04:00,07.03.2019 05:00,"1,61"
07.03.2019 05:00,07.03.2019 06:00,"1,628"
07.03.2019 06:00,07.03.2019 07:00,"0,338"
07.03.2019 07:00,07.03.2019 08:00,"0,831"
07.03.2019 08:00,07.03.2019 09:00,"2,194"
07.03.2019 09:00,07.03.2019 10:00,"0,712"
07.03.2019 10:00,07.03.2019 11:00,"0,251"
07.03.2019 11:00,07.03.2019 12:00,"0,254"
07.03.2019 12:00,07.03.2019 13:00,"0,258"
07.03.2019 13:00,07.03.2019 14:00,"0,253"
07.03.2019 14:00,07.03.2019 15:00,"1,02"
07.03.2019 15:00,07.03.2019 16:00,"0,317"
07.03.2019 16:00,07.03.2019 17:00,"0,33"
07.03.2019 17:00,07.03.2019 18:00,"1,01"
07.03.2019 18:00,07.03.2019 19:00,"1,54"
07.03.2019 19:00,07.03.2019 20:00,"2,76"
07.03.2019 20:00,07.03.2019 21:00,"3,058"
07.03.2019 21:00,07.03.2019 22:00,"4,295"
07.03.2019 22:00,07.03.2019 23:00,"4,118"
07.03.2019 23:00,08.03.2019 00:00,"4,754"
08.03.2019 00:00,08.03.2019 01:00,"3,077"
08.03.2019 01:00,08.03.2019 02:00,"1,735"
08.03.2019 02:00,08.03.2019 03:00,"1,554"
08.03.2019 03:00,08.03.2019 04:00,"1,552"
08.03.2019 04:00,08.03.2019 05:00,"1,54"
08.03.2019 05:00,08.03.2019 06:00,"2,287"
08.03.2019 06:00,08.03.2019 07:00,"1,568"
08.03.2019 07:00,08.03.2019 08:00,"1,548"
08.03.2019 08:00,08.03.2019 09:00,"1,524"
08.03.2019 09:00,08.03.2019 10:00,"2,945"
08.03.2019 10:00,08.03.2019 11:00,"1,492"
08.03.2019 11:00,08.03.2019 12:00,"1,877"
08.03.2019 12:00,08.03.2019 13:00,"1,577"
08.03.2019 13:00,08.03.2019 14:00,"2,408"
08.03.2019 14:00,08.03.2019 15:00,"1,564"
08.03.2019 15:00,08.03.2019 16:00,"0,316"
08.03.2019 16:00,08.03.2019 17:00,"0,182"
08.03.2019 17:00,08.03.2019 18:00,"0,981"
08.03.2019 18:00,08.03.2019 19:00,"0,146"
08.03.2019 19:00,08.03.2019 20:00,"0,136"
08.03.2019 20:00,08.03.2019 21:00,"0,132"
08.03.2019 21:00,08.03.2019 22:00,"0,608"
08.03.2019 22:00,08.03.2019 23:00,"2,014"
08.03.2019 23:00,09.03.2019 00:00,"1,565"
09.03.2019 00:00,09.03.2019 01:00,"1,594"
09.03.2019 01:00,09.03.2019 02:00,"1,587"
09.03.2019 02:00,09.03.2019 03:00,"1,941"
09.03.2019 03:00,09.03.2019 04:00,"1,925"
09.03.2019 04:00,09.03.2019 05:00,"1,407"
09.03.2019 05:00,09.03.2019 06:00,"0,165"
09.03.2019 06:00,09.03.2019 07:00,"0,165"
