Fra,Til,KWH 60 Forbruk
01.09.2019 00:00,01.09.2019 01:00,"0,834"
01.09.2019 01:00,01.09.2019 02:00,"0,536"
01.09.2019 02:00,01.09.2019 03:00,"0,489"
01.09.2019 03:00,01.09.2019 04:00,"0,531"
01.09.2019 04:00,01.09.2019 05:00,"0,321"
01.09.2019 05:00,01.09.2019 06:00,"0,459"
01.09.2019 06:00,01.09.2019 07:00,"0,365"
01.09.2019 07:00,01.09.2019 08:00,"0,204"
01.09.2019 08:00,01.09.2019 09:00,"0,391"
01.09.2019 09:00,01.09.2019 10:00,"1,56"
01.09.2019 10:00,01.09.2019 11:00,"2,919"
01.09.2019 11:00,01.09.2019 12:00,"2,227"
01.09.2019 12:00,01.09.2019 13:00,"0,475"
01.09.2019 13:00,01.09.2019 14:00,"0,34"
01.09.2019 14:00,01.09.2019 15:00,"0,289"
01.09.2019 15:00,01.09.2019 16:00,"0,926"
01.09.2019 16:00,01.09.2019 17:00,"2,084"
01.09.2019 17:00,01.09.2019 18:00,"3,616"
01.09.2019 18:00,01.09.2019 19:00,"2,273"
01.09.2019 19:00,01.09.2019 20:00,"2,212"
01.09.2019 20:00,01.09.2019 21:00,"2,227"
01.09.2019 21:00,01.09.2019 22:00,"1,537"
01.09.2019 22:00,01.09.2019 23:00,"0,242"
01.09.2019 23:00,02.09.2019 00:00,"1,49"
02.09.2019 00:00,02.09.2019 01:00,"0,234"
02.09.2019 01:00,02.09.2019 02:00,"0,205"
02.09.2019 02:00,02.09.2019 03:00,"0,166"
02.09.2019 03:00,02.09.2019 04:00,"0,152"
02.09.2019 04:00,02.09.2019 05:00,"0,36"
02.09.2019 05:00,02.09.2019 06:00,"0,158"
02.09.2019 06:00,02.09.2019 07:00,"0,34"
02.09.2019 07:00,02.09.2019 08:00,"0,327"
02.09.2019 08:00,02.09.2019 09:00,"0,173"
02.09.2019 09:00,02.09.2019 10:00,"0,462"
02.09.2019 10:00,02.09.2019 11:00,"0,347"
02.09.2019 11:00,02.09.2019 12:00,"0,171"
02.09.2019 12:00,02.09.2019 13:00,"0,368"
02.09.2019 13:00,02.09.2019 14:00,"1,649"
02.09.2019 14:00,02.09.2019 15:00,"2,226"
02.09.2019 15:00,02.09.2019 16:00,"2,196"
02.09.2019 16:00,02.09.2019 17:00,"2,212"
02.09.2019 17:00,02.09.2019 18:00,"0,885"
02.09.2019 18:00,02.09.2019 19:00,"0,373"
02.09.2019 19:00,02.09.2019 20:00,"0,432"
02.09.2019 20:00,02.09.2019 21:00,"2,456"
02.09.2019 21:00,02.09.2019 22:00,"0,406"
02.09.2019 22:00,02.09.2019 23:00,"0,383"
02.09.2019 23:00,03.09.2019 00:00,"1,434"
03.09.2019 00:00,03.09.2019 01:00,"2,36"
03.09.2019 01:00,03.09.2019 02:00,"1,899"
03.09.2019 02:00,03.09.2019 03:00,"0,422"
03.09.2019 03:00,03.09.2019 04:00,"0,297"
03.09.2019 04:00,03.09.2019 05:00,"0,242"
03.09.2019 05:00,03.09.2019 06:00,"0,258"
03.09.2019 06:00,03.09.2019 07:00,"0,218"
03.09.2019 07:00,03.09.2019 08:00,"0,399"
03.09.2019 08:00,03.09.2019 09:00,"0,409"
03.09.2019 09:00,03.09.2019 10:00,"0,179"
03.09.2019 10:00,03.09.2019 11:00,"0,37"
03.09.2019 11:00,03.09.2019 12:00,"0,352"
03.09.2019 12:00,03.09.2019 13:00,"0,487"
03.09.2019 13:00,03.09.2019 14:00,"0,531"
03.09.2019 14:00,03.09.2019 15:00,"0,498"
03.09.2019 15:00,03.09.2019 16:00,"0,394"
03.09.2019 16:00,03.09.2019 17:00,"0,314"
03.09.2019 17:00,03.09.2019 18:00,"0,352"
03.09.2019 18:00,03.09.2019 19:00,"0,825"
03.09.2019 19:00,03.09.2019 20:00,"3,105"
03.09.2019 20:00,03.09.2019 21:00,"2,217"
03.09.2019 21:00,03.09.2019 22:00,"3,228"
03.09.2019 22:00,03.09.2019 23:00,"2,561"
03.09.2019 23:00,04.09.2019 00:00,"2,361"
04.09.2019 00:00,04.09.2019 01:00,"0,857"
04.09.2019 01:00,04.09.2019 02:00,"0,323"
04.09.2019 02:00,04.09.2019 03:00,"0,198"
04.09.2019 03:00,04.09.2019 04:00,"0,192"
04.09.2019 04:00,04.09.2019 05:00,"0,181"
04.09.2019 05:00,04.09.2019 06:00,"0,171"
04.09.2019 06:00,04.09.2019 07:00,"0,368"
04.09.2019 07:00,04.09.2019 08:00,"0,29"
04.09.2019 08:00,04.09.2019 09:00,"0,361"
04.09.2019 09:00,04.09.2019 10:00,"0,265"
04.09.2019 10:00,04.09.2019 11:00,"0,772"
04.09.2019 11:00,04.09.2019 12:00,"2,185"
04.09.2019 12:00,04.09.2019 13:00,"2,127"
04.09.2019 13:00,04.09.2019 14:00,"2,104"
04.09.2019 14:00,04.09.2019 15:00,"0,839"
04.09.2019 15:00,04.09.2019 16:00,"0,323"
04.09.2019 16:00,04.09.2019 17:00,"1,747"
04.09.2019 17:00,04.09.2019 18:00,"2,278"
04.09.2019 18:00,04.09.2019 19:00,"1,464"
04.09.2019 19:00,04.09.2019 20:00,"0,428"
04.09.2019 20:00,04.09.2019 21:00,"1,112"
04.09.2019 21:00,04.09.2019 22:00,"2,555"
04.09.2019 22:00,04.09.2019 23:00,"2,169"
04.09.2019 23:00,05.09.2019 00:00,"2,142"
05.09.2019 00:00,05.09.2019 01:00,"0,864"
05.09.2019 01:00,05.09.2019 02:00,"0,158"
05.09.2019 02:00,05.09.2019 03:00,"0,136"
05.09.2019 03:00,05.09.2019 04:00,"0,139"
05.09.2019 04:00,05.09.2019 05:00,"0,147"
05.09.2019 05:00,05.09.2019 06:00,"0,135"
05.09.2019 06:00,05.09.2019 07:00,"0,324"
05.09.2019 07:00,05.09.2019 08:00,"0,139"
05.09.2019 08:00,05.09.2019 09:00,"0,391"
05.09.2019 09:00,05.09.2019 10:00,"0,834"
05.09.2019 10:00,05.09.2019 11:00,"2,166"
05.09.2019 11:00,05.09.2019 12:00,"2,132"
05.09.2019 12:00,05.09.2019 13:00,"2,122"
05.09.2019 13:00,05.09.2019 14:00,"1,935"
05.09.2019 14:00,05.09.2019 15:00,"0,308"
05.09.2019 15:00,05.09.2019 16:00,"0,322"
